"course","section","semester","size","max","time","tag","dept","dept2","dept3","dept4","description"
"Fiction Writing I","1","S23",15,15,"Wednesday | 2:00 PM - 5:00 PM",226,"ENGL",NA,NA,NA,"A first course in writing fiction. Emphasis will be on experimentation as well as on developing skill and craft. Workshop format."
"Fiction Writing II","1","S23",15,15,"Thursday | 1:00 PM - 4:00 PM",326,"ENGL",NA,NA,NA,"How do stories move? What are the uses and limitations of the term ""plot"" in describing movement or development in narrative? What culturally-specific assumptions and expectations about storytelling are bound up with conventional notions of plot, and how can we, as writers and readers, unravel them?In this advanced fiction writing course, students will explore these questions and more through writing, reading, sharing, and thoughtfully critiquing fiction that challenges, resists, or forgoes linear or sequential narrative. Writers of all aesthetic styles, including plot-driven writers, are welcome. The aim of this course is to build a nurturing and inclusive classroom community where all students can cultivate confidence in their work and writing process."
"Literary/Critical Theory","1","S23",5,18,"Tuesday/Thursday | 11:30 AM - 12:50 PM",496,"ENGL",NA,NA,NA,"This course introduces students to the basic concepts and methods of literary and critical theory, a body of work that explores and critiques modern assumptions about truth, culture, power, language, representation, subject-formation, and identity. Surveying a wide range of authors and approaches, students will grapple with complex theoretical texts, consider the place of theory in literary studies and in film, media, and cultural studies as well, and begin to imagine ways of putting theoretical ideas to work for themselves.Open to juniors and seniors."
"Narratives of Migration","1","S23",3,18,"Thursday | 1:00 PM - 4:00 PM",114,"ENGL",NA,NA,NA,"How does migration transform identity? Which techniques do writers use to express and recreate this complex experience on the page? What role can language and narrative technique play in forging a sense of self and home? How might writing be related to refuge? Reading across genres of poetry, fiction and memoir, this class explores how writers have described the experience of locating themselves while departing, arriving or living in between. The course will cover topics such as alienation, assimilation, generational memory, survival, nostalgia, hybridity, and transformation. Students can expect a wide range of writing assignments, both analytical and creative. Readings may include Bapsi Sidhwa, Amitav Ghosh, Zadie Smith, Jos'e Olivarez, Warsan Shire, Suji Kwock Kim, Fady Joudah, Edwidge Danticat, Eduardo Corral and Ocean Vuong."
"Poems, Songs, Stories","1","S23",20,20,"Wednesday/Friday | 2:00 PM - 3:20 PM",122,"ENGL",NA,NA,NA,"This is a course about three of the most basic and ancient genres of verbal expression. They exist in every culture and they are a part of almost every person�s life. By thinking about each of those genres, one at a time, over the course of the semester, we will ultimately arrive at a more complex, nuanced understanding of the ways in which they both express and shape who we are. The readings and listenings will be wide-ranging and will consist partly of professor-provided works and partly of student-nominated works. Musical knowledge is useful but not necessary."
"Reading Poetry","1","S23",35,35,"Tuesday/Thursday | 11:30 AM - 12:50 PM",240,"ENGL",NA,NA,NA,"A first course in the critical reading of selected English-language poets, which gives students exposure to significant poets, poetic styles, and literary and cultural contexts for poetry from across the tradition. Attention will be given to prosody and poetic forms, and to different ways of reading poems."
"Reading Small Drama","1","S23",12,25,"Monday/Wednesday | 3:00 PM - 4:20 PM",231,"ENGL",NA,NA,NA,"How small can drama get while remaining ""dramatic""? During the first half of the twentieth century, it was not unusual for a stage in America to be filled with dozens of actors. Over the last sixty years, though, the crowds onstage have thinned. Today, three-, two-, and even one-person plays are as common as twenty-person plays once were. In this course, we will study the work of playwrights who have found new inspiration within these tight constraints.As a foundational course in drama, this course will teach you the special skills involved in reading plays. As texts meant to be interpreted and staged by theater-makers, plays are radically under-determined things. So, you cannot sit back and play the role of audience. You must also do the imaginative work of all those people-actors, directors, designers, etc.-who turn a play into a performance. This course will teach you the habits of mind that make this imaginative work possible."
"Reading the Novel","1","S23",17,35,"Wednesday/Friday | 12:30 PM - 1:50 PM",250,"ENGL",NA,NA,NA,"An introduction to the study of the novel, through the exploration of a variety of critical terms and methodologies. We will draw on a selection of novels in English to illustrate and complicate those terms; possible authors include Jane Austen, Mary Shelley, Wilkie Collins, Henry James, Kazuo Ishiguro, Thomas Pynchon, Toni Morrison, John Edgar Wideman, Emma Donoghue, David Foster Wallace, Monique Truong, Jennifer Egan.Preference given to sophomores."
"The End of the World","1","S23",19,18,"Monday/Wednesday | 12:30 PM - 1:50 PM",109,"ENGL",NA,NA,NA,"The world is ending, the planet is dying, civilization is falling to ruin � now what? For millennia, theatermakers have asked and answered this question through their art. Why does theater keep staging such scenes of devastation and renewal? In this course, you will read a selection of such apocalyptic plays, as well as works in other genres that ask us to imagine that, when all else has withered away, the theater will somehow survive. Course materials will range from medieval morality plays and Shakespearean tragedies to recent novels, avant-garde theater, and Broadway musicals. With the help of texts by and about BIPOC performers, we will also ask: For whom, exactly, is the world supposed to be ending? For whom did it end at least once already � whether years or centuries ago? And what does theater offer to communities who have already survived the apocalypse, or who currently live in apocalyptic times?"
"Writing Poetry I","1","S23",12,12,"Thursday | 2:30 PM - 5:30 PM",221,"ENGL",NA,NA,NA,"A first workshop in the writing of poetry. Class members will read and discuss each others' work and will study the elements of prosody: the line, stanza forms, meter, free verse, and more. Open to anyone interested in writing poetry and learning about the rudiments of craft. Writing exercises weekly."
"Writing Poetry II","1","S23",3,0,"Wednesday | 2:30 PM - 5:15 PM",324,"ENGL",NA,NA,NA,"What can we learn about the craft of poetry through the practice of translation? How can engaging with poetry in another language (even in translation) transform our own thinking and writing? This class will explore these questions by reading and translating poetry from around the world and across the centuries. Readings from Homer, Sappho, Catullus, Montale, Ghalib, Mir and a variety of contemporary Arab poets will be augmented with a mix of essays on the practical and theoretical aspects of translation. Students will experiment with a variety of translation-inspired writing exercises and design a final translation project of their choice. There is no language requirement."
"Creative Nonfiction","2","S23",15,15,"Thursday | 2:30 PM - 5:30 PM",224,"ENGL",NA,NA,NA,"This course explores the questions at the heart of creative nonfiction: What does it mean to tell a ""true"" story? And what does it mean to tell a true story ""creatively""? A deep dive into essay, memoir, and genres of nonfiction that have yet to be named will allow us to form our own definitions of creative nonfiction. Through workshops that will encourage exploration, experimentation, and vulnerability, we will develop our own personal practices for writing from life. Writers in the earliest stages of their engagement with nonfiction are welcome, as well as writers who are seeking to hone their ongoing nonfiction writing and their possible senior projects."
"Reading Poetry","2","S23",2,35,"Tuesday/Thursday | 1:00 PM - 2:20 PM",240,"ENGL",NA,NA,NA,"A first course in the critical reading of selected English-language poets, which gives students exposure to significant poets, poetic styles, and literary and cultural contexts for poetry from across the tradition. Attention will be given to prosody and poetic forms, and to different ways of reading poems."
"Climate Justice","1","S23",2,12,"Tuesday | 2:30 PM - 5:00 PM",314,"ENST","SOCI",NA,NA,"A 2020 survey of nearly 21,000 adults in 28 countries conducted by the World Economic Forum and Ipsos found that 86% of people want to see a more equitable and sustainable world after the pandemic. Action on climate change is central to these goals. But what kind of action do we take? What are the targets of effective climate action? How can each of us contribute to the larger-scale changes needed to address global warming and work toward climate justice now? The goal of this course is to answer these questions by taking as our point of departure the 2022 report of the United Nations Intergovernmental Panel on Climate Change (IPCC), which provides the most comprehensive overview available of the international social science of climate change mitigation. This report shows real possibilities for keeping global temperatures below the more dangerous thresholds expected with �business as usual� if we take more urgent action to reduce greenhouse gas emissions (GHG) across sectors. The report highlights that �collective action and social organising are crucial to shift the possibility space of public policy on climate change mitigation� and that explicit consideration of the principles of justice, equality, and fairness enables the acceleration of the transition to sustainability. Therefore, we focus on the evidence regarding how our actions to address climate change can improve lives and contribute to the just and fair society most of us want by transforming critical sectors, including, for example, transportation, electricity, and land use. This course involves experiential learning.�"
"Environ Issues 19th Cent","1","S23",21,18,"Tuesday/Thursday | 10:00 AM - 11:20 AM",104,"ENST","HIST",NA,NA,"This course considers the ways that people in various parts of the world thought about and acted upon nature during the nineteenth century. We look historically at issues that continue to have relevance today, including: invasive species, deforestation, soil-nitrogen availability, water use, desertification, and air pollution. Themes include: the relationship of nineteenth-century colonialism and environmental degradation, gender and environmental change, the racial dimensions of ecological issues, and the spatial aspects of human interactions with nature. We will take at least one field trip. In addition, we will watch three films that approach nineteenth-century environmental issues from different vantage points. Two class meetings per week."
"Food and Environment","1","S23",13,20,"Monday/Wednesday | 12:30 PM - 1:50 PM",270,"ENST","SOCI",NA,NA,"Food and farming make fundamental connections between humans and the earth. This course examines how agriculture, food systems, and rural development are entangled with environmental and social transformations around the world, and how we can cultivate solutions for global health, sustainability and social justice. Topics examined range from technological modernization and biotechnology to agroecology and food culture, malnutrition and obesity, food safety and environmental intoxication, land and labor struggles, race and gender issues in food systems, and from climate change to sustainable development. Readings draw from development studies and sociology, critical food and agrarian studies, political ecology and other interdisciplinary environmental studies. In addition to the lectures, students will cultivate critical thinking and improve skills in reading, writing, discussion, and creativity through dialogue, hands-on activities at the Book & Plow farm, creative exercises, and independent research."
"Pandemics and Society","1","S23",6,20,"Monday/Wednesday | 3:00 PM - 4:20 PM",306,"ENST","SOCI",NA,NA,"How and why do pandemics emerge? How have pandemics been shaped by social and ecological conditions around the world? And how do pandemics in turn transform society and our environment? This is a research-oriented interdisciplinary seminar examining how epidemic infectious diseases are not naturally given but socially and environmentally constructed. We will study the plague (including the Black Death), smallpox, dengue, malaria, cholera, tuberculosis, influenza, HIV, SARS, MERS, and COVID-19, and draw upon examples from all around the world throughout history. Special attention is given to environmental change and modernization, science and technology, state-making and globalization, migration and geopolitics, as well as class, race/ethnicity and gender inequalities. The seminar will draw on readings in sociology, anthropology, history, geography, public health, biology, epidemiology, political ecology, and other interdisciplinary fields. Lectures will be accompanied by discussion, and students will be required to undertake independent research, write a final essay, and present their work to the class. We will explore the possibility of publishing final essays as a collection."
"Sem: Population Ethics","1","S23",4,15,"Tuesday | 2:30 PM - 5:00 PM",374,"ENST","PHIL",NA,NA,"Is our planet overpopulated? And if so, how many of us should live on it? Population raises tricky questions that are both empirical and broadly philosophical: How should we weigh the well-being of future individuals against the lives of those currently living? Should we aim for a future population whose average or whose total level of well-being is maximized-or should we apply some other standard? Even more fundamentally: are we right to think of human life as, on balance, a positive thing? And how might a policy based on answers to such questions be weighed against rights to reproductive choice, and against considerations of justice? In this seminar, we will explore recent work in the emerging and fascinating field of population ethics. We will chart new areas for research, as well as for practical policy-making."
"Wine/History/Environment","1","S23",20,20,"Tuesday/Thursday | 1:00 PM - 2:20 PM",402,"ENST","HIST",NA,NA,"Wine is as old as civilization, and is deeply wedded to religious and secular traditions around the world. Its production has transformed landscapes, ecosystems, and economies. In this course we examine how wine has shaped the history of Europe, North Africa, the Americas, and, increasingly, China. Through historical readings, scientific study, art, and class discussion, students will learn about such issues as the environmental impact of wine; the politics of taste and class; the organization of labor; the impact of imperialism and global trade; the late nineteenth-century phylloxera outbreak that almost destroyed the European wine industry; and the emergence of claims about terroir and how such claims are anchored to regional and national identity. We will get our hands dirty with soil sampling, learn the basics of sediment analysis in the laboratory, and have a go at fermentation. Required field trips might include the taking of soil samples and planting of vines at Book and Plow Farm and a visit to a nearby winery. There also might be an optional multi-day oenology trip to New York's Finger Lake district. Students who are using the course as their research seminar for History or LLAS will have one extra workshop each week to focus on the design and execution of an independent research project."
"Climate Science/Society","1","S23",4,18,"Monday/Wednesday | 12:30 PM - 1:50 PM",225,"ENST",NA,NA,NA,"Understanding the connections between climate science and the societal impacts of climate change is key to addressing the global climate crisis. This course will critically examine climate change drivers, impacts, and solutions from the scientific and societal perspectives. Through lecture, discussion, and project work we will examine environmental responses to climate change, communication within the scientific community and by stakeholders, and adaptation and mitigation response strategies. Our examination of the science will be grounded by careful analysis of documents such as the Intergovernmental Panel on Climate Change and will empower students to translate their understanding of the science into meaningful communication strategies designed to mitigate the effects of climate change. This course will emphasize verbal, written, and visual communication skills pertaining to climate change science.Requisites: ENST-120, BIOL-181, GEOL-109, or consent of instructor."
"Ecosystem Ecology","1","S23",4,0,"Monday/Wednesday/Friday | 10:00 AM - 10:50 AM",310,"ENST",NA,NA,NA,"This course examines the principles of ecosystem ecology, which facilitates our understanding of key environmental issues. We will focus on water and elemental cycling and energy flow in terrestrial and aquatic ecosystems. Topics will include the Earth's climate system, carbon cycling, nutrient cycling, disturbance regimes, succession, and ecosystem resilience. We will discuss how ecosystem structure and function relates to applied issues of conservation, sustainability, and responses to climate change.Requisites: ENST-210 or consent of instructor."
"Fisheries","1","S23",3,15,"Wednesday | 2:00 PM - 5:00 PM",430,"ENST",NA,NA,NA,"The dependency of many countries on marine organisms for food has resulted in severe population declines in cod, bluefin tuna, swordfish, and abalone, as well as numerous other marine organisms. In this seminar we will examine the sociological, political, and economic impacts of global depletion of fisheries. Questions addressed will be: What is the scope of extinctions or potential extinctions due to over-harvesting of marine organisms? How are fisheries managed, and are some approaches to harvesting better than others? How do fisheries extinctions affect the society and economy of various countries, and ecosystem stability? How do cultural traditions of fishermen influence attempts to manage fisheries? Does aquaculture offer a sustainable alternative to overfishing the seas, and what is aquaculture's impact on ecosystem stability? Three class hours per week."
"Global Environ. Politics","1","S23",14,35,"Tuesday/Thursday | 11:30 AM - 12:50 PM",260,"ENST",NA,NA,NA,"The effects of environmental problems, from climate change, to water contamination, to the depletion of fisheries, are felt acutely at the local level. But their underlying causes are often global: coal-burning power plants in China affects sea-level rise near Miami, overfishing by European fleets off the coast of Africa affects bush meat hunting in the Congo Basin, and deforestation in Indonesia creates forest fires that affect all of Southeast Asia's air quality. Environmental issues are also fundamentally political: that is, they emerge through negotiations between different actors and groups with divergent interests and disparate degrees of power and influence. In this course, we will examine how environmental problems emerge through political processes that transcend national borders. Through foundational readings, in-depth classroom discussions, and team-based analysis of pressing contemporary cases, you will learn the tools of rigorous multi-level political and policy analysis. While we will emphasize that a global and explicitly political analysis is necessary to properly diagnose why environmental problems and conflicts emerge, we will focus on how these diagnoses suggest solutions. Coming out of this course, you will be better equipped to analyze how global politics are linked to local environmental issues, and to understand when different types of solutions - from small changes to policy, to international treaties, to protest and demands for radical systems change - are most likely to move the needle on environmental sustainability and justice."
"Intro Environ Studies","1","S23",50,50,"Tuesday | 1:00 PM - 2:20 PM",120,"ENST",NA,NA,NA,"What is 'the environment' and why does it matter? What are the environmental impacts of ""business as usual""? What kinds of environmental futures do we want to work towards and what are the alternatives? In this course, we will explore these and other questions that examine how and why we relate to the environment in the ways that we do and the social, ecological and ethical implications of these relationships. As an Introduction to Environmental Studies, this course seeks to develop a common framework for understanding 'the environment' as a tightly coupled socio-natural enterprise, and familiarize students with several key environmental issues of the 21st century. One lecture and one discussion section per week."
"Race Migration Ger Cinem","1","S23",4,0,"Tuesday/Thursday | 11:30 AM - 12:50 PM",230,"EUST","FAMS","GERM",NA,"How to talk about �race� in a culture where the concept is taboo? The �racial state� of the Third Reich has discredited the concept in public discourse, yet racialized assumptions continue to permeate German culture. What is the impact of historically and culturally determined preconceptions on the challenges posed by an increasingly demographically diverse society? Who defines who does and who doesn�t belong to the �national community,� and on what basis?� If German identity is implicitly associated with �whiteness,� for instance, where does this leave people perceived as �non-white""? Our course explores how German filmmakers, both those with and without what is now called a �migration background,� tackle questions of belonging, assimilation, inclusion and exclusion in feature films. Works by filmmakers such as Thomas Arslan, Fatih Akin, Mo Asumang, Pepe Danquart, Doris D�rrie, R. W. Fassbinder, M. W. Kimmich, Angelina Maccarone, Branwen Okpako, Burhan Qurbani, Jan Schuette, R. A. Stemmle, and Simon Verhoeven will be discussed in a variety of historical and social contexts. Screenings will be supplemented by readings on questions of non-white German national identity from scholars and writers such as Tina Campt, Fatima El-Tayeb, Ika H�gel-Marshall, Hans Massaquoi, Katharina Oguntoye, Damani Partridge, and Alexander Weheliye."
"USSR During Cold War","1","S23",22,0,"Tuesday/Thursday | 8:30 AM - 9:50 AM",237,"EUST","HIST","RUSS",NA,"The Cold War indelibly shaped the second half of the twentieth century. Spies seemed ubiquitous; nuclear annihilation imminent. Films such as Red October and the James Bond series forged a Western image of the Soviet Union. But how were these decades experienced behind the Iron Curtain? This course explores Soviet history between the end of World War II and the collapse of the USSR. We will study the roots of the Cold War; the politics of de-Stalinization in the USSR; the unfolding of Soviet influence in Eastern Europe; and Soviet relations with the West, China, and the developing world. We will also explore the internal dynamics of Soviet society: the rise of the Soviet middle class, consumerism, tourism, the entertainment industry, demographic trends, education, and public health. Two class meetings per week."
"Barcelona","1","S23",8,20,"Tuesday/Thursday | 1:00 PM - 2:20 PM",450,"EUST","SPAN",NA,NA,"As a global city with a local identity, Barcelona resides both literally and figuratively at the border between Spain and the rest of the Europe. This interdisciplinary course will explore the in-between space this vibrant city inhabits as a playground for tourists; a mecca for soccer; a terminus for immigrants from Asia, Africa, Latin America and the rest of Spain; and a fortress fiercely safeguarding the Catalan language and culture. You will study architecture, art, sports, literature, cinema, language and politics set amid the urban cityscape of Barcelona, focusing on the city's role in the exportation of a unique identity beyond Spain's borders. This course is conducted in Spanish."
"Empires in Global Hist","1","S23",3,18,"Monday/Wednesday | 8:30 AM - 9:50 AM",344,"EUST","HIST",NA,NA,"Many see today�s world resembling some features of the world in the nineteenth century. Some powers today claim regional hegemony, attempt to pursue the course of supranationalism, and encounter the challenge of diversity. The course will explore the historical experience of the British, French, German, Habsburg, Ottoman, and Russian empires in the nineteenth century by focusing on how those imperial formations met the challenge of modernization and nationalism which included both accommodation of diversity and violent exclusion. Students will acquire the toolkit of comparative historical analysis and will focus on moments of interaction-entanglement of these imperial formations."
"Eur. Intellectual Hist","1","S23",5,25,"Monday/Wednesday | 12:30 PM - 1:50 PM",205,"EUST","HIST",NA,NA,"Intellectual history concerns itself with the study of social and political ideas. These ideas are known by big words, such as Conservatism, Liberalism, Socialism. As George Orwell once remarked: �The worst thing one can do with words is to surrender to them.� This course will help students to create a distance needed to analyze the big ideas and the meaning beneath them and help acquire skills for exploration of the origin of key social and political concepts, their development and impact.� The readings for this class will take students on a journey through the battle of ideas in Europe at the end of the nineteenth and early twentieth century when tensions and paradoxes of modernity surfaced in the form of political and social divisions. This journey will continue through the �Age of Extremes� and the confrontation between Communism, Fascism, and renewed Liberalism, observing the legacy of this defining for the twentieth century history moment. Two"
"Illustrated Exile","1","S23",2,0,"Tuesday/Thursday | 1:00 PM - 2:20 PM",249,"EUST","RUSS",NA,NA,"Amid a new wave of Russian �migr�s across Europe, this course looks at the remarkable stories of the First Wave of Russians in Paris in the 1920s and 1930s. In their film, fiction and photo shoots, these cultural entrepreneurs managed to construct a modern identity in exile, demonstrating remarkable skills of self-adaptation and assimilation. We will read newly translated fiction from young female authors like Nina Berberova and Irina Odoevtseva, examine the commercial phenomenon of French-language author Ir�ne N�mirovsky, and the inventions and observations of taxi driver Gaito Gazdanov. We will watch the films of the Russian-French Albatross film studio and its star Ivan Mosjoukine, as well as Marcel L�Herbier�s Art Deco films featuring Kissa Kouprine, a former Paul Poiret model. And we will examine the daily lives of the average Russians in Paris through the online archive of Illustrated Russia, a weekly magazine which ran the first annual Miss Russia beauty contest. By exploring the visual culture of this publication � cartoons, fashion advice, celebrity photographs, children�s section, and advertising � we will reconstruct this remarkable community, the first post-Soviet Russian society. Through comparative and contextual readings, this course showcases Russian literature and culture as inherently transnational, as we build up a new understanding of Russian artistic, national, gender, and ethnic identities. Students will meet working translators and engage in hands-on work with the collections of the Center for Russian Culture. No background or language knowledge required. �"
"Music & Culture II","1","S23",9,0,"Tuesday/Thursday | 1:00 PM - 2:20 PM",222,"EUST","MUSI",NA,NA,"One of three courses in which the development of Western music is studied in its cultural-historical context. Occasionally we will attend concerts in Amherst and elsewhere. Composers to be studied include Beethoven, Rossini, Schubert, Mendelssohn, Schumann, Chopin, Liszt, Berlioz, Wagner, Verdi, Mussorgsky, and Brahms. Regular listening assignments will broaden the repertoire we encounter and include a wide sampling of Classical and Romantic music. Periodic writing assignments will provide opportunities to connect the music with historical-cultural interpretation. Readings will focus on Gibbs/Taruskin Oxford History of Western Music with additional historical documents and selected critical and analytical studies."
"Renaissance Italy","1","S23",6,0,"Monday/Wednesday | 3:00 PM - 4:20 PM",125,"EUST","HIST",NA,NA,"Given the misrepresentations of Renaissance Florentine politics in popular media (Netflix series Medici) and the attacks on Renaissance European culture from theorists of decolonization, one might ask: what is the relevance of the Renaissance today? In this course, we will discuss the extent to which the Florentine republic's struggle for survival in the midst of wars and despotic/oligarchic/feudal usurpations might, again, be of interest to us, and engage with question of race, colonialism, and the representation of Africa and the New World. We will critically examine Renaissance cultural productions (humanist history writing, portraiture, perspective, mapping, erotic art) while appreciating the politics of beauty in architecture, urban planning, and figurative art. Other topics include: the gendered politics of charity; patriarchal families; women writers; domestic slavery; Jewish communities; interactions with Islamic culture. Two meetings weekly."
"Romance Lit & Culture","1","S23",15,0,"Monday/Wednesday/Friday | 10:00 AM - 10:50 AM",324,"EUST","FREN",NA,NA,"The study of a major author, literary problem, or question from the medieval period with a particular focus announced each time the course is offered. The topic for Spring 2023 is: ""The Grail, the Rose, and Dante."" We will study the social, philosophical, poetic and institutional currents that contribute to the emergence of allegorical texts in the period between the twelfth and the late-fourteenth centuries. Readings include the Quest for the Holy Grail and works by Chr'etien de Troyes, Guillaume de Lorris, Jean de Meung, Dante Alighieri, and Marie de France. All readings will be done in English translation. Conducted in English."
"Latin American Cinema","1","S23",5,0,"Wednesday/Friday | 1:00 PM - 3:30 PM",332,"FAMS","LLAS","SPAN","SWAG","How have Latin Americans represented themselves on the big screen? In this course we will explore this question through close readings of representative films from each of the following major periods: silent cinema, studio cinema, Neorealism/Art Cinema, the New Latin American Cinema, and contemporary cinema. Throughout the course we will examine evolving representations of modernity and pay special attention to how these representations are linked to different constructions of gender, race, sexuality, and nationality. We will conclude the course with a collective screening of video essays created by students in the course. The course is conducted in Spanish."
"Women of Ill Repute","1","S23",15,0,"Tuesday/Thursday | 10:00 AM - 11:20 AM",342,"FREN","SWAG",NA,NA,"Prostitutes play a central role in nineteenth-century French fiction, especially of the realistic and naturalistic kind. Both widely available and largely visible in nineteenth-century France, prostitutes inspired many negative stereotypes. But, as the very product of the culture that marginalized her, the prostitute offered an ideal vehicle for writers to criticize the hypocrisy of bourgeois mores. The socially stratified world of prostitutes, ranging from low-ranking sex workers to high-class courtesans, presents a fascinating microcosm of French society as a whole. We will read selections from Honor'e de Balzac, Splendeur et mis`ere des courtisanes; Victor Hugo, Les Mis'erables; and Gustave Flaubert, L''education sentimentale; as well as Boule-de-Suif and other stories by Guy de Maupassant; La fille Elisa by Edmond de Goncourt; Nana by Emile Zola; Marthe by Joris-Karl Huysmans; La dame aux cam'elias by Alexandre Dumas fils; and extracts from Du c^ot'e de chez Swann by Marcel Proust. Additional readings will be drawn from the fields of history and critical theory. We will also discuss visual representations of prostitutes in nineteenth-century French art. Conducted in French."
"Elementary French","1","S23",7,0,"Monday/Wednesday/Friday | 12:00 PM - 12:50 PM",101,"FREN",NA,NA,NA,"This course features intensive work on French grammar, with emphasis on the acquisition of basic active skills. We will be using the multimedia program, Totem, which employs only authentic French, allowing students to use the language colloquially and creatively in a short amount of time. Three hours a week for explanation and demonstration, plus small sections with French assistants. This course prepares students for FREN 103. For students without previous training in French."
"French Conversation","1","S23",13,16,"Tuesday/Thursday | 10:00 AM - 11:20 AM",208,"FREN",NA,NA,NA,"To gain as much confidence as possible in idiomatic French, we discuss French social institutions and culture, trying to appreciate differences between French and American viewpoints. Our conversational exchanges will touch upon such topics as French education, art and architecture, the status of women, the spectrum of political parties, minority groups, religion, and the position of France and French-speaking countries in the world. Supplementary work with audio and video materials."
"Intermediate French","1","S23",5,0,"Monday/Wednesday/Friday | 10:00 AM - 10:50 AM",103,"FREN",NA,NA,NA,"Intensive review and coverage of all basic French grammar points with emphasis on the understanding of structural and functional aspects of the language and acquisition of the basic active skills. We will be using the multimedia program, Imaginez. Three hours a week for explanation and demonstration, plus small sections with French assistants. This course prepares students for FREN 205."
"Intro French Lit & Cult","1","S23",5,0,"Monday/Wednesday/Friday | 11:00 AM - 11:50 AM",207,"FREN",NA,NA,NA,"Through class discussion, debates, and frequent short papers, students develop effective skills in self-expression, analysis, and interpretation. Literary texts, articles on current events, and films are studied within the context of the changing structures of French society and France's complex relationship to its recent past. Assignments include both creative and analytic approaches to writing. Some grammar review as necessary, as well as work on understanding spoken French using video materials. Highly recommended for students planning to study abroad."
"Language and Literature","1","S23",4,0,"Monday/Wednesday/Friday | 10:00 AM - 10:50 AM",205,"FREN",NA,NA,NA,"An introduction to the critical reading of French literary and non-literary texts; a review of French grammar; training in composition, conversation and listening comprehension. Texts will be drawn from significant short stories, poetry and films. The survey of different literary genres serves also to contrast several views of French culture. Successful completion of FREN 205 prepares students for FREN 207 or 208. Conducted in French. Three hours a week."
"Under the Influence","1","S23",5,0,"Tuesday/Thursday | 1:00 PM - 2:20 PM",326,"FREN",NA,NA,NA,"In matters of conquest, political alliance, or arts and letters, France's interactions with Italy during the sixteenth century have left a significant imprint on its history, its language and literature, and even its national identity. With the Italian Renaissance preceding the French, French rulers, thinkers, and artists alike looked across the Alps for inspiration and innovation, and voyages to Italy almost became an obligatory rite of passage for the educated Frenchman. Alongside this admiration, however, was a growing sentiment of suspicion and even rejection, deploring the presence of Italians in the French court.This course will explore some of the complexities of these relationships by developing three principal threads. The first will offer an examination of sixteenth-century French literature in dialogue with the works of some of the major figures in Italian literary history, such as Boccaccio, Petrarch, and Castiglione, to explore how French writers in turn draw and deviate from the Italian model in their poetry, short stories or nouvelles, and depictions of courtly practice. The second thread places French writers and thinkers on the path to Italy to investigate instead their observations and representations of their Italian experience. And finally, we will read a number of texts expressing the discontent of the French with Italian presence on their soil. We will pay particular attention to those works targeting the Queen Mother and those attacking Machiavelli to better understand the phenomenon of ""machiav'elisme,"" its contribution to Italophobia, and its role in France's religious wars.All French texts will be read in French. Italian texts will be read in French or English translation. Students with knowledge of Italian may read texts in the original language. Conducted in French."
"Worldliness","1","S23",7,0,"Monday/Wednesday/Friday | 11:00 AM - 11:50 AM",339,"FREN",NA,NA,NA,"Many eighteenth-century writers imagined and invented other, better societies. To attenuate their criticisms of the social, political, and religious structures of the ancien r'egime, they had recourse to the viewpoint of fictional ""outsiders"" who arrive in France as if for the first time and describe what they see in minute and telling detail. We will analyze the role that these ""other"" worlds and the ""otherworldly"" point of view played in the development of eighteenth-century thought and literature, as well as some of the repercussions that these questions have had in twentieth-century thought. Readings will include Montesquieu's Lettres persanes, Rousseau's Discours sur l'origine de l'in'egalit'e, Diderot's Suppl'ement au Voyage de Bougainville, and Madame de Graffigny's Lettres d'une P'eruvienne, as well as Freud's Civilization and Its Discontents and a selection of essays by Claude L'evi-Strauss. Conducted in French."
"Intermediate French","2","S23",3,0,"Monday/Wednesday/Friday | 11:00 AM - 11:50 AM",103,"FREN",NA,NA,NA,"Intensive review and coverage of all basic French grammar points with emphasis on the understanding of structural and functional aspects of the language and acquisition of the basic active skills. We will be using the multimedia program, Imaginez. Three hours a week for explanation and demonstration, plus small sections with French assistants. This course prepares students for FREN 205."
"Climate Dynamics","1","S23",15,0,"Monday/Wednesday/Friday | 10:00 AM - 10:50 AM",331,"GEOL",NA,NA,NA,"The basic controls on Earth's climate are simple. We take in light energy from the sun, we radiate that energy through our atmosphere back into space, and the balance of inputs and outputs sets our surface temperature. Thus, changes in solar radiation, Earth's orbital dynamics, and atmospheric chemistry can explain the large-scale climate changes throughout Earth's history. But the details that matter to individual cities, countries, species, are much more complicated -- the atmosphere and ocean, engines driven by energy from the sun, work to distribute heat around the globe and control regional climate. Thus, physical models of the ocean and atmosphere are important in characterizing modern and past change. Independent of climate models, much of our understanding of climate dynamics comes from the paleoclimate record: physical and chemical proxies, preserved in geologic materials, that tell the story of Earth's past. In this class, we explore the processes that control Earth's climate, identify the tools we use to understand the climate of the past, and contextualize modern change using the geologic record.Lab activities will involve the interpretation of modern and paleoclimate data, execution and evaluation of fluid dynamics experiments, and calculations using simple climate models. The course will also involve discussion and group work, independently scheduled among small groups."
